target,source,value,tipo,regiao,count,uf,funcao
full network access,Aglomerações,1,app,Aglomerações,1,Aglomerações,full network access
full network access,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,full network access
full network access,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,full network access
full network access,AVISU,1,app,AVISU,1,AVISU,full network access
full network access,Ceará App,1,app,Ceará App,1,Ceará App,full network access
full network access,Colab,1,app,Colab,1,Colab,full network access
full network access,Combate Coronavírus,1,app,Combate Coronavírus,1,Combate Coronavírus,full network access
full network access,Coronavírus - SUS,1,app,Coronavírus - SUS,1,Coronavírus - SUS,full network access
full network access,Covid Monitor,1,app,Covid Monitor,1,Covid Monitor,full network access
full network access,CovidPR,1,app,CovidPR,1,CovidPR,full network access
full network access,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,full network access
full network access,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,full network access
full network access,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,full network access
full network access,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,full network access
full network access,ISUS,1,app,ISUS,1,ISUS,full network access
full network access,KeyApp,1,app,KeyApp,1,KeyApp,full network access
full network access,Mais Saúde Cidadão,1,app,Mais Saúde Cidadão,1,Mais Saúde Cidadão,full network access
full network access,Meu Info Sáude,1,app,Meu Info Sáude,1,Meu Info Sáude,full network access
full network access,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,full network access
full network access,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,full network access
full network access,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,full network access
full network access,Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,full network access
full network access,SASI,1,app,SASI,1,SASI,full network access
full network access,Saúde Aparecida,1,app,Saúde Aparecida,1,Saúde Aparecida,full network access
full network access,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,full network access
full network access,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,full network access
full network access,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,full network access
full network access,Simot,1,app,Simot,1,Simot,full network access
full network access,Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,full network access
change network connectivity,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,change network connectivity
change network connectivity,Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,change network connectivity
change your audio settings,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,change your audio settings
change your audio settings,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,change your audio settings
change your audio settings,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,change your audio settings
change your audio settings,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,change your audio settings
change your audio settings,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,change your audio settings
change your audio settings,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,change your audio settings
change your audio settings,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,change your audio settings
API ref GooglePlay,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,API ref GooglePlay
API ref GooglePlay,Ceará App,1,app,Ceará App,1,Ceará App,API ref GooglePlay
API ref GooglePlay,Colab,1,app,Colab,1,Colab,API ref GooglePlay
API ref GooglePlay,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,API ref GooglePlay
API ref GooglePlay,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,API ref GooglePlay
API ref GooglePlay,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,API ref GooglePlay
API ref GooglePlay,ISUS,1,app,ISUS,1,ISUS,API ref GooglePlay
API ref GooglePlay,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,API ref GooglePlay
