source,target,value,uf,regiao,count,tipo,funcao
Aparecida de Goiânia,People flow monitoring,1,GO,Centro-Oeste,41,regiao,People flow monitoring
Caldas Novas,People flow monitoring,1,GO,Centro-Oeste,41,regiao,People flow monitoring
Brasília,Telemedicine,1,DF,Centro-Oeste,37,regiao,Telemedicine
Luziânia,Telemedicine,1,GO,Centro-Oeste,37,regiao,Telemedicine
Campo Grande,Telemedicine,1,MS,Centro-Oeste,37,regiao,Telemedicine
Aparecida de Goiânia,Contact tracking,1,GO,Centro-Oeste,11,regiao,Contact tracking
Aparecida de Goiânia,Digitalization of public services,1,GO,Centro-Oeste,3,regiao,Digitalization of public services
Maceió,People flow monitoring,1,AL,Nordeste,41,regiao,People flow monitoring
Campina Grande,People flow monitoring,1,PB,Nordeste,41,regiao,People flow monitoring
João Pessoa,People flow monitoring,1,PB,Nordeste,41,regiao,People flow monitoring
Caruaru,People flow monitoring,1,PE,Nordeste,41,regiao,People flow monitoring
Recife,People flow monitoring,1,PE,Nordeste,41,regiao,People flow monitoring
Teresina,People flow monitoring,1,PI,Nordeste,41,regiao,People flow monitoring
Aracaju,People flow monitoring,1,SE,Nordeste,41,regiao,People flow monitoring
Jaboatão dos Guararapes,Telemedicine,1,PE,Nordeste,37,regiao,Telemedicine
Recife,Telemedicine,1,PE,Nordeste,37,regiao,Telemedicine
Teresina,Telemedicine,1,PI,Nordeste,37,regiao,Telemedicine
Salvador,Body temperature monitoring,1,BA,Nordeste,17,regiao,Body temperature monitoring
Vitória da Conquista,Mapping of COVID-19 evolution,1,BA,Nordeste,17,regiao,Mapping of COVID-19 evolution
Fortaleza,Body temperature monitoring,1,CE,Nordeste,17,regiao,Body temperature monitoring
João Pessoa,Body temperature monitoring,1,PB,Nordeste,17,regiao,Body temperature monitoring
João Pessoa,Mapping of COVID-19 evolution,1,PB,Nordeste,17,regiao,Mapping of COVID-19 evolution
Recife,Mapping of COVID-19 evolution,1,PE,Nordeste,17,regiao,Mapping of COVID-19 evolution
Parnamirim,Mapping of COVID-19 evolution,1,RN,Nordeste,17,regiao,Mapping of COVID-19 evolution
Aracaju,Body temperature monitoring,1,SE,Nordeste,17,regiao,Body temperature monitoring
Aracaju,Mapping of COVID-19 evolution,1,SE,Nordeste,17,regiao,Mapping of COVID-19 evolution
Araguaína,Mapping of COVID-19 evolution,1,TO,Nordeste,17,regiao,Mapping of COVID-19 evolution
Aracaju,Contact tracking,1,SE,Nordeste,11,regiao,Contact tracking
João Pessoa,Information provision,1,PB,Nordeste,3,regiao,Information provision
Salvador,People identification,1,BA,Nordeste,1,regiao,People identification
Rio Branco,People flow monitoring,1,AC,Norte,41,regiao,People flow monitoring
Macapá,People flow monitoring,1,AP,Norte,41,regiao,People flow monitoring
Porto Velho,Telemedicine,1,RO,Norte,37,regiao,Telemedicine
Manaus,Mapping of COVID-19 evolution,1,AM,Norte,17,regiao,Mapping of COVID-19 evolution
Manaus,Contact tracking,1,AM,Norte,11,regiao,Contact tracking
Cachoeiro de Itapemirim,People flow monitoring,1,ES,Sudeste,41,regiao,People flow monitoring
Belo Horizonte,People flow monitoring,1,MG,Sudeste,41,regiao,People flow monitoring
Governador Valadares,People flow monitoring,1,MG,Sudeste,41,regiao,People flow monitoring
Varginha,People flow monitoring,1,MG,Sudeste,41,regiao,People flow monitoring
Niterói,People flow monitoring,1,RJ,Sudeste,41,regiao,People flow monitoring
Rio de Janeiro,People flow monitoring,1,RJ,Sudeste,41,regiao,People flow monitoring
Teresópolis,People flow monitoring,1,RJ,Sudeste,41,regiao,People flow monitoring
Campinas,People flow monitoring,1,SP,Sudeste,41,regiao,People flow monitoring
Jacareí,People flow monitoring,1,SP,Sudeste,41,regiao,People flow monitoring
Santo André,People flow monitoring,1,SP,Sudeste,41,regiao,People flow monitoring
São Carlos,People flow monitoring,1,SP,Sudeste,41,regiao,People flow monitoring
São Paulo,People flow monitoring,1,SP,Sudeste,41,regiao,People flow monitoring
Belo Horizonte,Telemedicine,1,MG,Sudeste,37,regiao,Telemedicine
Itajubá,Telemedicine,1,MG,Sudeste,37,regiao,Telemedicine
Juiz de Fora,Telemedicine,1,MG,Sudeste,37,regiao,Telemedicine
Campos dos Goytacazes,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
Macaé,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
Nova Iguaçu,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
Rio de Janeiro,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
São João da Barra,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
São Leopoldo,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
Teresópolis,Telemedicine,1,RJ,Sudeste,37,regiao,Telemedicine
Campinas,Telemedicine,1,SP,Sudeste,37,regiao,Telemedicine
Santa Isabel,Telemedicine,1,SP,Sudeste,37,regiao,Telemedicine
Santana de Parnaíba,Telemedicine,1,SP,Sudeste,37,regiao,Telemedicine
São Paulo,Telemedicine,1,SP,Sudeste,37,regiao,Telemedicine
Rio de Janeiro,Body temperature monitoring,1,RJ,Sudeste,17,regiao,Body temperature monitoring
Volta Redonda,Mapping of COVID-19 evolution,1,RJ,Sudeste,17,regiao,Mapping of COVID-19 evolution
Bauru,Mapping of COVID-19 evolution,1,SP,Sudeste,17,regiao,Mapping of COVID-19 evolution
Campinas,Body temperature monitoring,1,SP,Sudeste,17,regiao,Body temperature monitoring
Campinas,Mapping of COVID-19 evolution,1,SP,Sudeste,17,regiao,Mapping of COVID-19 evolution
Guarulhos,Body temperature monitoring,1,SP,Sudeste,17,regiao,Body temperature monitoring
Guarulhos,Mapping of COVID-19 evolution,1,SP,Sudeste,17,regiao,Mapping of COVID-19 evolution
Santos,Mapping of COVID-19 evolution,1,SP,Sudeste,17,regiao,Mapping of COVID-19 evolution
São Sebastião,Body temperature monitoring,1,SP,Sudeste,17,regiao,Body temperature monitoring
Betim,Contact tracking,1,MG,Sudeste,11,regiao,Contact tracking
Governador Valadares,Contact tracking,1,MG,Sudeste,11,regiao,Contact tracking
São Caetano do Sul,Contact tracking,1,SP,Sudeste,11,regiao,Contact tracking
São Paulo,Contact tracking,1,SP,Sudeste,11,regiao,Contact tracking
Sorocaba,Contact tracking,1,SP,Sudeste,11,regiao,Contact tracking
Maricá,Information provision,1,RJ,Sudeste,3,regiao,Information provision
Santo André,Digitalization of public services,1,SP,Sudeste,3,regiao,Digitalization of public services
São Paulo,Digitalization of public services,1,SP,Sudeste,3,regiao,Digitalization of public services
Cascavel,People flow monitoring,1,PR,Sul,41,regiao,People flow monitoring
Curitiba,People flow monitoring,1,PR,Sul,41,regiao,People flow monitoring
Foz do Iguaçu,People flow monitoring,1,PR,Sul,41,regiao,People flow monitoring
Maringá,People flow monitoring,1,PR,Sul,41,regiao,People flow monitoring
Ponta Grossa,People flow monitoring,1,PR,Sul,41,regiao,People flow monitoring
Ijuí,People flow monitoring,1,RS,Sul,41,regiao,People flow monitoring
Porto Alegre,People flow monitoring,1,RS,Sul,41,regiao,People flow monitoring
Rio Grande,People flow monitoring,1,RS,Sul,41,regiao,People flow monitoring
Tubarão,People flow monitoring,1,SC,Sul,41,regiao,People flow monitoring
Curitiba,Telemedicine,1,PR,Sul,37,regiao,Telemedicine
