source,target,value,uf,regiao,count,tipo,funcao
Aparecida de Goiânia,fluxo de pessoas,1,GO,Centro-Oeste,41,regiao,fluxo de pessoas
Aparecida de Goiânia,fluxo de pessoas,1,GO,Centro-Oeste,41,regiao,fluxo de pessoas
Caldas Novas,fluxo de pessoas,1,GO,Centro-Oeste,41,regiao,fluxo de pessoas
Brasília,Telemedicina,1,DF,Centro-Oeste,37,regiao,Telemedicina
Luziânia,Telemedicina,1,GO,Centro-Oeste,37,regiao,Telemedicina
Luziânia,Telemedicina,1,GO,Centro-Oeste,37,regiao,Telemedicina
Campo Grande,Telemedicina,1,MS,Centro-Oeste,37,regiao,Telemedicina
Campo Grande,Telemedicina,1,MS,Centro-Oeste,37,regiao,Telemedicina
Aparecida de Goiânia,Rastr contatos,1,GO,Centro-Oeste,11,regiao,Rastr contatos
Aparecida de Goiânia,Dig serviços públicos,1,GO,Centro-Oeste,3,regiao,Dig serviços públicos
Maceió,fluxo de pessoas,1,AL,Nordeste,41,regiao,fluxo de pessoas
Campina Grande,fluxo de pessoas,1,PB,Nordeste,41,regiao,fluxo de pessoas
João Pessoa,fluxo de pessoas,1,PB,Nordeste,41,regiao,fluxo de pessoas
Caruaru,fluxo de pessoas,1,PE,Nordeste,41,regiao,fluxo de pessoas
Recife,fluxo de pessoas,1,PE,Nordeste,41,regiao,fluxo de pessoas
Recife,fluxo de pessoas,1,PE,Nordeste,41,regiao,fluxo de pessoas
Teresina,fluxo de pessoas,1,PI,Nordeste,41,regiao,fluxo de pessoas
Teresina,fluxo de pessoas,1,PI,Nordeste,41,regiao,fluxo de pessoas
Aracaju,fluxo de pessoas,1,SE,Nordeste,41,regiao,fluxo de pessoas
Jaboatão dos Guararapes,Telemedicina,1,PE,Nordeste,37,regiao,Telemedicina
Recife,Telemedicina,1,PE,Nordeste,37,regiao,Telemedicina
Teresina,Telemedicina,1,PI,Nordeste,37,regiao,Telemedicina
Salvador,temperatura,1,BA,Nordeste,17,regiao,temperatura
Vitória da Conquista,Evolução COVID-19,1,BA,Nordeste,17,regiao,Evolução COVID-19
Fortaleza,temperatura,1,CE,Nordeste,17,regiao,temperatura
João Pessoa,temperatura,1,PB,Nordeste,17,regiao,temperatura
João Pessoa,Evolução COVID-19,1,PB,Nordeste,17,regiao,Evolução COVID-19
Recife,Evolução COVID-19,1,PE,Nordeste,17,regiao,Evolução COVID-19
Recife,Evolução COVID-19,1,PE,Nordeste,17,regiao,Evolução COVID-19
